ID ,,Life Cycle,,Cultivated?,,Leaf type,,Leaf Type 2,,,Leaf size,,,Plant form,,,,,,,,Rooting depth,Pollination,,,,,,,Seed dispersal,,,,,
Black pepper,PINI3,0,1,0,1,1,0,0,0,1,9,4,36,0,1,0,0,0,0,0,5,,0,0,0,1,0,0,0,0,0,1,1,0,
Blossom Grass,CYPER,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,
Bougainvillea,BOGL4,0,1,1,0,1,0,0,0,1,6,3,18,0,1,0,0,0,1,0,1.5,"shallow, fine",0,0,1,0,0,0,0,1,1,0,0,0,
Boston fern,NEEX,0,1,1,0,1,0,0,0,1,50,6,300,1,0,0,0,0,0,0,0.8,,0,1,1,0,0,0,0,0,1,0,0,0,
Bottlebrush,AEPA2,0,1,0,1,1,0,1,0,0,20,10,200,0,0,0,0,0,1,0,5,30,0,0,1,0,0,0,0,0,0,0,0,1,
Boxwood,BUXUS,0,1,1,0,1,0,0,0,1,5,3,15,0,0,0,0,0,1,0,1,1/3 height of plant,0,0,1,0,0,0,0,0,1,0,0,1,
Brassica,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Bridal wreath,SPPR,0,1,1,0,1,0,1,0,0,4,2.5,10,0,0,0,0,0,1,0,2.5,45,0,0,1,0,0,0,0,1,0,0,1,0,
"Cat's claw, cats claw",MAUN3,0,1,0,1,1,0,1,0,0,15,5,75,0,1,0,0,0,0,0,10,,0,0,1,1,0,0,0,1,0,0,0,1,
Burford holly,,0,1,1,0,1,0,0,0,1,10,5,50,0,0,0,0,0,1,1,7.5,,0,1,1,0,0,0,0,0,0,0,1,0,
Burr horse crippler,CEEC,1,0,0,1,1,0,0,1,0,6,1,6,0,0,0,0,1,0,0,0.7,4,0,1,0,0,0,0,0,0,0,0,1,1,
Buttercup,RANUN,1,0,0,1,0,1,0,1,0,3,2.5,7.5,1,0,0,0,0,0,0,0.25,3,0,0,1,0,0,0,0,0,1,0,0,0,
"Butterfly bush, buddleia",BUDDL2,0,1,1,0,1,,0,0,1,12,7,84,0,0,0,0,0,1,0,2,,,0,1,0,1,0,0,1,0,0,0,1,
California brickellbush,BRCA3,0,1,0,1,1,0,1,0,0,6,3,18,0,0,0,0,0,1,0,1.5,,0,0,1,0,0,0,0,1,0,0,0,0,
Camphor,CICA,0,1,0,1,1,0,0,0,1,8,4,32,0,0,0,0,0,0,1,15,30,0,0,1,0,0,0,0,0,0,0,1,0,
Cana Lilly,CAGE3,0,1,1,0,1,0,1,0,0,90,30,2700,1,0,0,0,0,0,0,0.6,10.00,0,0,1,0,1,0,0,0,1,0,1,0,
Camellia sasanqua,CASA26,0,1,1,0,1,0,0,0,1,5,4,20,0,0,0,0,0,1,0,2.5,,0,0,1,0,0,0,0,0,1,0,0,0,
Carpet Grass,AXFI,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,
Carrot Leaf,EUCA5,0,1,0,1,1,0,0,1,0,0.1,0.1,0.01,1,0,0,0,0,0,0,0.5,,0,1,0,0,0,0,0,1,0,0,0,0,
Castor Bean,RICO3,0,1,1,0,0,1,0,0,1,35,25,875,0,0,0,0,0,1,0,2,,0,1,1,0,0,0,0,0,0,1,0,0,
Cherry Laurel,PRCA,0,1,1,0,1,0,1,0,0,7,4,28,0,0,0,0,0,1,1,10,,0,0,1,0,0,0,0,0,0,0,1,0,
Chinaberry,MEAZ,0,1,1,0,1,0,1,0,0,6,3,18,0,0,0,0,0,0,1,7,,0,0,1,0,0,0,0,0,1,0,1,1,
Chinese Elm,ULPA,0,1,1,0,1,0,1,0,0,5,3,15,0,0,0,0,0,0,1,13,,0,1,0,0,0,0,0,1,0,0,0,0,
Elm sp,ULMUS,0,1,1,0,0,0,1,0,0,5,3,15,0,0,0,0,0,0,1,10,,0,1,0,0,0,0,0,1,0,0,0,0,
Clover,TRRE3,0,1,0,1,0,1,0,1,0,2,4,8,1,0,0,0,0,0,0,0.05,shallow soils. rarely deeper than 60 cm ,0,0,0,1,0,0,0,0,1,0,0,0,
Coastal Catepillar Grass,ECCR,1,0,0,1,1,0,0,1,0,30,4,120,0,0,0,0,1,0,0,1.5,,0,0,0,1,0,0,0,0,0,1,1,1,
Flowering dogwood,COFL2,0,1,0,1,1,0,1,0,0,10,5,50,0,0,0,0,0,0,1,7,,0,0,1,0,0,0,0,0,0,0,1,0,
Coleus,COLEU,1,0,1,0,1,0,0,0,1,13,5,65,1,0,0,0,0,0,0,0.4,,0,0,1,0,0,0,0,0,0,0,1,0,
Commelina communis,COCO3,1,0,0,1,1,0,0,1,0,3.5,1.5,5.25,1,0,0,0,0,0,0,0.7,,0,0,1,0,0,0,0,0,0,0,1,1,
coon tail,COCA5,1,0,0,1,1,0,0,1,0,10,1,10,1,0,0,0,0,0,0,1,15,0,0,0,1,0,0,0,1,0,0,0,0,
Dogwood,CORNU,0,1,1,1,1,0,1,0,0,20,10,200,0,0,0,0,0,0,1,7,shallow,0,0,1,0,0,0,0,0,0,0,1,0,
Crepe Myrtle,LAIN,0,1,1,0,1,0,1,0,0,6,3,18,0,0,0,0,0,0,1,10,,0,0,1,0,0,0,0,1,0,0,0,0,
"Crossvine, cross vine",BICA,0,1,0,1,1,0,0,0,1,15,5,75,0,1,0,0,0,0,0,10,,0,0,1,0,1,0,0,1,0,0,0,0,
Croton,COVA3,0,1,1,0,1,0,0,0,1,30,10,300,0,0,0,0,0,1,1,3.1,,0,0,1,0,0,0,0,0,1,0,1,0,
Curly Dock,RUCR,0,1,0,1,1,0,0,1,0,11,2.5,27.5,1,0,0,0,0,0,0,1,20,0,0,0,1,0,0,0,1,0,0,0,1,
Cycad,CYCAD,0,1,1,0,1,0,0,0,1,50,10,500,0,0,0,0,0,1,0,2,,0,1,1,0,0,0,0,0,0,0,1,0,
Red Tuscan,RUCH3,0,1,0,1,1,0,0,1,0,12,4,48,1,0,0,0,0,0,0,1,20,0,0,0,1,0,0,0,1,0,0,0,1,
Dandelion,TAOF,0,1,0,1,0,1,0,1,0,45,10,450,1,0,0,0,0,0,0,0.25,2.5,0,1,0,0,0,0,0,1,0,0,1,1,
False four o'clock,RUCA19,0,1,0,1,1,0,0,1,0,8,3,24,1,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,1,
Pyrrhopappus carolinianus,PYCA2,1,0,0,1,0,1,0,1,0,6,5,30,1,0,0,0,0,0,0,0.4,2.5,0,0,1,0,0,0,0,1,0,0,0,0,
"Datura, devil's trumpet",DATUR,1,1,1,0,1,0,0,1,0,20,18,360,1,0,0,0,0,0,0,1.5,,0,0,1,0,0,0,0,0,1,0,1,0,
Dichondra,DICA3,0,1,0,1,1,0,0,1,0,4,4,16,1,0,0,0,0,0,0,0.15,3,0,0,0,1,0,0,0,0,1,0,0,0,
Dutchman's Pipe,AREL10,0,1,0,1,1,0,0,0,1,13,10,130,0,1,0,0,0,0,0,2,,0,0,1,0,0,0,0,1,0,0,0,0,
Eastern Redbud,CECA4,0,1,1,1,1,0,1,0,0,10,20,200,0,0,0,0,0,0,1,10,"""not a problem""",0,0,1,1,0,0,0,1,0,0,1,0,
English Ivy,HEHE,0,1,1,0,0,1,0,0,1,13,10,130,0,1,0,0,0,0,0,0.2,,0,0,1,0,0,0,0,0,0,0,1,0,
Elderberry,SANI4,0,1,0,1,1,0,1,0,0,8,5,40,0,0,0,0,0,1,1,6,,0,0,1,0,0,0,0,0,0,0,1,0,
Elephant's Ear,XANTH4,0,1,1,0,1,0,0,0,1,30,20,600,1,0,0,0,0,0,0,3,,0,0,1,0,0,0,0,0,0,0,1,0,
Winter creeper,EUFO5,0,1,1,0,1,0,0,0,1,3,2,6,0,0,0,0,0,1,0,1.5,,0,0,1,0,0,0,0,0,0,0,1,1,
Eyebrow Grass,URPL2,1,0,0,1,1,0,0,1,0,17.5,1.3,22.75,0,0,0,0,1,0,0,0.7,,0,1,0,0,0,0,0,0,1,0,0,1,
Fairy cups,TRPE4,1,0,0,1,0,1,0,1,0,11,10,110,1,0,0,0,0,0,0,0.5,taprooted annual,0,0,0,1,0,0,0,0,1,0,0,0,
False Garlic,NOGR3,0,1,0,1,0,1,0,0,0,20,1,20,0,0,0,0,1,0,0,0.4,10,0,0,1,0,0,0,0,0,1,0,0,1,
Fairy hand green grapes,LEDI4 (CODI6),1,0,0,1,0,1,0,1,0,0.5,0.3,0.15,1,0,0,0,0,0,0,0.3,,0,0,0,1,0,0,0,0,1,0,0,0,
Fairy lamb hands,ACGR2,1,0,0,1,1,0,0,1,0,0.5,0.1,0.05,1,0,0,0,0,0,0,0.5,,0,0,1,0,0,0,0,1,0,0,0,0,
Fat Mimosa,PHUR,1,0,0,1,1,0,0,1,0,6,3,18,1,0,0,0,0,0,0,0.45,extensive,0,0,0,1,0,0,0,0,0,0,1,1,
Fetter,HEAM,1,0,0,1,1,0,0,1,0,8,0.1,0.8,1,0,0,0,0,0,0,0.3,short branching taproot,0,0,1,0,0,0,0,1,0,0,0,0,
Ficus,FIEL,0,1,1,0,1,0,0,0,1,35,15,525,0,0,0,0,0,1,1,30,,0,0,1,0,0,0,0,0,0,0,1,0,
firework grass,CYRO,0,1,0,1,1,0,0,0,0,50,1.2,60,0,0,0,0,1,0,0,1,15,0,0,0,1,0,0,0,0,0,0,0,0,
flat blotch leaf,CHMA15,1,0,0,1,1,0,0,1,0,2,0.5,1,1,0,0,0,0,0,0,0.3,,0,0,1,0,0,0,0,0,0,1,0,0,
flat red edge,CHHY3,1,1,0,1,1,0,0,1,0,4,0.12,0.48,1,0,0,0,0,0,0,0.3,,0,0,1,0,0,0,0,0,0,1,0,0,
Flower pit mint,MEPR2,0,1,0,1,1,0,0,1,0,2.50,1.2,3,1,0,0,0,0,0,0,0.15,,0,0,1,0,0,0,0,1,0,0,0,0,
Four o'clock,MIJA,0,1,0,1,1,0,0,0,1,7,6,42,1,0,0,0,0,0,0,0.9,13,0,0,1,0,0,0,0,0,1,0,0,0,
fuzz fingers,SOSE2,1,0,0,1,0,1,0,1,0,2,1,2,1,0,0,0,0,0,0,0.1,,0,0,0,1,0,0,0,0,0,0,1,0,
fuzz heart seed cup,VEPO,1,0,0,1,1,0,0,0,0,1.1,0.9,0.99,1,0,0,0,0,0,0,0.2,2,0,0,1,0,0,0,0,0,0,0,0,0,
fuzzy hand leaf,PAHY,1,0,0,1,0,1,0,1,0,0.2,,0,1,0,0,0,0,0,0,0.6,100,0,1,0,0,0,0,0,1,0,0,1,1,
Garden Spurge,CHHI3,1,0,0,1,1,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0.4,5,0,0,1,0,0,0,0,0,0,1,0,0,
Ginger,ZIOF,0,1,1,0,1,0,0,0,1,30,7,210,1,0,0,0,0,0,0,1.2,,0,0,1,0,0,0,0,0,0,1,1,0,
Green feather conehead,ROCR3,1,0,0,1,1,0,0,1,0,15,1,15,0,0,0,0,1,0,0,0.35,,0,1,0,0,0,0,0,1,0,0,0,0,
Habanero vine,MOBA,1,0,0,1,0,1,0,1,0,10,10,100,1,1,0,0,0,0,0,3,30,0,0,1,0,0,0,0,0,0,0,1,0,
Hackberry seedling,CE2,0,1,0,1,1,0,1,0,0,5,2,10,0,0,0,0,0,0,1,10,.15 m per .3 m of tree,0,0,1,0,0,0,0,0,1,0,1,0,
Helicopter grass,ELIN3,1,0,0,1,1,0,0,1,0,15,0.8,12,0,0,0,0,1,0,0,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,
Hemp vine,MISC,0,1,0,1,1,0,0,0,1,15,5,75,1,1,0,0,0,0,0,2.5,,0,0,1,0,0,0,0,1,0,0,1,0,
Hibiscus,HIBIS2,1,1,1,0,1,0,0,0,1,10,10,100,1,0,0,0,0,0,0,1.5,,0,0,1,0,0,0,0,0,0,0,1,0,
Hickory,CARYA,0,1,1,1,1,0,1,0,0,7,4,28,0,0,0,0,0,0,1,20,,0,1,0,0,0,0,0,0,0,0,1,1,
Hornbeam,CACA18,0,1,0,1,1,0,1,0,0,10,5,50,0,0,0,0,0,1,1,20,,0,1,0,0,0,0,0,1,0,0,1,0,
horse crippler,CESP4,1,1,0,1,1,0,0,1,0,15,0.2,3,1,0,0,0,1,0,0,0.55,,0,1,0,0,0,0,0,1,0,0,1,0,
Hug leaf,HYMI5,0,1,0,1,0,1,0,1,0,30,9,270,1,0,0,0,0,0,0,0.3,150,0,0,1,0,0,0,0,1,0,0,0,0,
Spikey hug,SOAS,1,0,0,1,1,0,0,1,0,15,7.5,112.5,1,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,1,0,0,0,0,
Ipomea,IPCO3,1,0,0,1,1,0,0,1,0,10,5,50,1,1,0,0,0,0,0,2,,0,0,1,1,0,0,0,0,1,0,0,0,
Ilex cassine,ILCA,0,1,1,0,1,0,0,0,1,7.5,5,37.5,0,0,0,0,0,1,1,7,70,0,0,1,0,0,0,0,0,0,0,1,0,
Ilex vomitoria,ILVO,0,1,1,0,1,0,1,0,0,5,3,15,0,0,0,0,0,1,0,6,,0,1,1,0,0,0,0,0,0,0,1,0,
Indian Hawthorn (RHIN21 new code),RHIN62,0,1,1,0,1,0,0,0,1,12,5,60,0,0,0,0,0,1,0,1.5,"""not a problem""",0,0,1,0,0,0,0,0,0,0,1,0,
Iva frutescens,IVFR,0,1,0,1,1,0,1,0,0,10,3,30,0,0,0,0,0,1,0,2.5,,0,1,0,0,0,0,0,1,0,0,0,0,
Japanese Clayere,CLJA6,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,
Japanese Climbing Fern,LYJA,0,1,0,1,0,1,0,0,1,10,3,30,0,1,0,0,0,0,0,3,,0,0,0,0,0,0,0,1,0,0,0,0,
Japanese Magnolia,,0,1,1,0,1,0,1,0,0,20,10,200,0,0,0,0,0,1,0,4,shallow,0,0,1,0,0,0,0,0,0,0,1,0,
Jessamin,GESE,0,0,0,1,1,0,0,0,0,10,1.5,15,0,0,0,0,0,1,0,3.5,,0,0,1,0,0,0,0,1,0,0,0,0,
Johnson Grass,SOHA,0,1,0,1,1,0,0,0,1,200,4,800,0,0,0,0,1,0,0,3.5,,0,1,0,0,0,0,0,1,0,0,1,1,
Juniper,JUCH4,0,1,1,0,1,0,0,0,1,5,0.5,2.5,0,0,0,0,0,1,1,20,,0,1,0,0,0,0,0,0,0,0,1,0,
Knockout rose,,0,1,1,0,1,0,1,0,0,4,2,8,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,0,0,1,0,
???,KOEFO,0,1,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
ladder grass,CYDA,0,1,0,1,1,0,0,0,1,3,0.3,0.9,0,0,0,0,1,0,0,0.1,,0,1,0,0,0,0,0,1,0,0,1,1,
Lamb's Ear,GAAR10,1,0,0,1,1,0,0,1,0,5,1.2,6,1,0,0,0,0,0,0,0.3,,0,0,0,0,0,0,0,0,0,0,0,0,
Laurel Oak,QULA3,0,1,1,1,1,0,1,0,0,12.7,4.4,55.88,0,0,0,0,0,0,1,15,,0,1,0,0,0,0,0,0,0,0,1,0,
legume,MEIN2,1,0,0,1,0,1,0,1,0,1.5,3,4.5,1,0,0,0,0,0,0,0.4,65,0,0,1,0,0,0,0,0,0,0,0,0,
Ligustrum,LIJA,0,1,0,1,1,0,1,0,0,15,7.5,112.5,0,0,0,0,0,0,1,4,,0,1,1,0,0,0,0,0,0,0,1,0,
Lily sp,LILIU,0,1,1,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,0,
Liriope,LIMU6,0,1,1,0,1,0,0,0,1,25,3,75,1,0,0,0,0,0,0,0.3,,0,0,1,0,0,0,0,1,1,0,0,0,
Lobelia,LOBEL,0,1,1,0,1,0,0,0,1,6,2,12,1,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,0,1,0,
Loblolly Pine,PITA,0,1,1,1,1,0,0,0,1,20,0.3,6,0,0,0,0,0,0,1,30,120,0,1,0,0,0,0,0,1,0,0,0,0,
Locust,ROPS,0,1,0,1,1,0,1,0,0,5,3,15,0,0,0,0,0,0,1,20,,0,0,1,0,0,0,0,1,1,0,0,0,
Long Leaf Fuzzy Bea,LATHY,1,0,0,1,1,0,0,1,0,,,0,1,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,1,
Lorapetalum,,0,1,1,0,1,0,0,0,1,5,3.5,17.5,0,0,0,0,0,1,0,1.5,,0,0,0,1,0,0,0,0,0,0,1,0,
Love grass,DICO2,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0.55,,0,0,0,0,0,0,0,0,0,0,0,0,
Magnolia,MAGR4,0,1,1,1,1,0,0,0,1,20,12,240,0,0,0,0,0,0,1,30,40,0,0,1,0,0,0,0,0,0,0,1,0,
Marigold,TAGET,1,0,0,1,1,0,0,1,0,4,1,4,1,0,0,0,0,0,0,0.7,,0,0,1,0,0,0,0,0,1,0,0,0,
Mark Argue Bush,BAHA,0,1,0,1,1,0,1,0,0,6,,0,0,0,0,0,0,1,0,3.5,,0,1,0,0,0,0,0,1,0,0,0,0,
Mat forming commelina,OPHI,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0.15,,0,0,0,0,0,0,0,0,0,0,0,0,
Shepherd's Purse,LEVI3,1,0,0,1,1,0,0,1,0,9,2,18,1,0,0,0,0,0,0,0.5,20,0,0,0,1,0,0,0,1,0,0,0,0,
mimosa,MIST2,0,1,0,1,1,0,0,0,1,28,10,280,1,0,0,0,0,0,0,0.1,,0,0,1,0,0,0,0,0,0,0,0,0,
morning glory,IPLA,1,0,0,1,1,0,0,1,0,9.5,8,76,1,0,0,0,0,0,0,1.5,,0,0,1,1,0,0,0,1,1,0,0,1,
Muhlenbergia,MUSC,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,
Mulberry,MOAL,0,1,0,1,1,1,0,0,0,,,0,0,0,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,0,0,0,
Wax myrtle,MOCE2,0,1,1,1,1,0,0,0,1,10,3,30,0,0,0,0,0,1,1,3,,0,0,0,0,1,1,0,0,0,0,1,0,
Murraya paniculata (Jessamine),MUEX2,0,1,1,0,1,0,0,0,1,5,4,20,0,0,0,0,0,1,1,7,,0,0,1,0,1,0,0,0,0,0,1,0,
Night Jasmine,CENO,0,1,0,1,1,0,1,0,0,20,4.5,90,0,0,0,0,0,1,0,4,,0,0,1,0,0,1,0,0,0,0,1,0,
oat grass,BRCA6,1,1,0,1,1,0,0,1,0,45,1.5,67.5,0,0,0,0,1,0,0,,30,0,0,0,1,0,0,0,1,1,0,1,1,
oenothera,OEHU,0,1,0,1,1,0,0,1,0,4,0.8,3.2,1,0,0,0,0,0,0,,,0,0,1,0,1,1,1,1,0,0,1,1,
Palmetto,SAMI8,0,1,1,0,1,0,0,0,1,150,30,4500,0,0,0,0,0,1,0,3,,0,0,1,1,0,0,0,0,0,0,1,1,
Panic grass,PARE3,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Partridge Pea,CHFA2,1,0,0,1,1,0,0,1,0,1,0.5,0.5,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,1,0,
Pea,VICIA,0,1,0,1,1,0,0,1,1,1,0.25,0.25,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Pecan,CAIL2,0,1,0,1,1,0,1,0,0,20,7,140,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,1,1,
Pennywort,HYUM,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Petunia,PEIN5,1,1,1,0,1,0,0,1,0,8,2,16,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,0,0,
Date palm,PHDA4,0,1,1,0,0,1,0,0,1,600,100,60000,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,1,0,
Pickle weed,ACOS,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Pineapple Guava,FESE2,0,1,1,0,1,0,0,0,1,10,5,50,0,0,0,0,0,0,1,,shallow/fibrous,0,0,1,0,1,0,0,0,0,0,1,0,
Pineapple sedge,CYES,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Pink and purple pea,LEBI2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Pinnate pea vine,WISI,0,0,0,1,0,1,1,0,0,30,6,180,0,1,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,1,
plantago,PLMA2,0,1,0,1,1,0,0,1,0,20,9,180,1,0,0,0,0,0,0,,45,0,1,0,0,0,0,0,1,1,0,1,0,
plantago 2,PLLA,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Plantago 3,PLAR3,1,1,0,1,1,0,-,1,-,15,5,75,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,1,
Podocarpus,POMA32,0,1,0,1,1,0,0,0,1,7,2,14,0,0,0,0,0,1,1,25,,0,1,0,0,0,0,0,0,0,0,1,0,
Poke Salad,PHAM4,0,1,0,1,1,0,0,0,1,40,10,400,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,1,0,
Lace grass look-alike,POPR,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Portulaca sp,PORTU,1,0,0,1,1,0,0,0,0,,,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Prunus serotina,PRSE2,0,1,0,1,1,0,1,0,0,10,5,50,0,0,0,0,0,1,1,25,,0,0,1,0,0,0,0,0,1,0,1,0,
purslane,POPI3,1,0,0,1,0,1,0,1,0,20,0.3,6,0,0,0,1,0,0,0,,,0,0,1,0,1,0,0,0,1,0,0,0,
Puppy Grass,,1,0,0,1,1,0,0,1,0,,,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
Purple Wort,TRSU2,0,1,0,1,1,0,0,1,0,20,3,60,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Queen Palm,SYRO4,0,1,1,0,0,1,0,0,1,80,20,1600,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,1,0,
Raggedy Dan Grass,,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
